Season,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Attend.,Arena
2000,"Mon, Nov 29, 1999",Sacramento Kings,88,Miami Heat,98,14723,Miami Arena
2000,"Mon, Nov 29, 1999",Dallas Mavericks,82,New York Knicks,107,19763,Madison Square Garden (IV)
2000,"Mon, Nov 29, 1999",Indiana Pacers,93,Portland Trail Blazers,91,20049,Rose Garden Arena
2000,"Mon, Nov 29, 1999",Golden State Warriors,99,Utah Jazz,115,18892,Delta Center
2000,"Mon, Nov 29, 1999",Houston Rockets,118,Vancouver Grizzlies,110,15086,General Motors Place
2000,"Tue, Nov 30, 1999",Dallas Mavericks,99,Cleveland Cavaliers,106,11033,Gund Arena
2000,"Tue, Nov 30, 1999",Phoenix Suns,94,Los Angeles Clippers,80,10233,STAPLES Center
2000,"Tue, Nov 30, 1999",Denver Nuggets,92,Minnesota Timberwolves,109,13117,Target Center
2000,"Tue, Nov 30, 1999",Washington Wizards,85,New Jersey Nets,78,13507,Continental Airlines Arena
2000,"Tue, Nov 30, 1999",Sacramento Kings,111,Orlando Magic,102,14439,TD Waterhouse Centre
2000,"Tue, Nov 30, 1999",New York Knicks,70,Philadelphia 76ers,74,17420,First Union Center
2000,"Tue, Nov 30, 1999",Detroit Pistons,87,San Antonio Spurs,106,18328,Alamodome
2000,"Tue, Nov 30, 1999",Los Angeles Lakers,101,Seattle SuperSonics,77,17072,KeyArena at Seattle Center
2000,"Tue, Nov 30, 1999",Atlanta Hawks,107,Toronto Raptors,89,16862,Air Canada Centre
2000,"Wed, Dec 1, 1999",Detroit Pistons,96,Denver Nuggets,100,11881,Pepsi Center
2000,"Wed, Dec 1, 1999",Golden State Warriors,75,Los Angeles Lakers,93,17689,STAPLES Center
2000,"Wed, Dec 1, 1999",Philadelphia 76ers,83,Miami Heat,90,14513,Miami Arena
2000,"Wed, Dec 1, 1999",Houston Rockets,122,Phoenix Suns,128,18630,America West Arena
2000,"Wed, Dec 1, 1999",Charlotte Hornets,90,Portland Trail Blazers,94,19980,Rose Garden Arena
2000,"Wed, Dec 1, 1999",Indiana Pacers,96,Vancouver Grizzlies,89,11683,General Motors Place
2000,"Wed, Dec 1, 1999",Cleveland Cavaliers,111,Washington Wizards,108,12144,MCI Center
2000,"Thu, Dec 2, 1999",Sacramento Kings,100,Atlanta Hawks,110,14537,Philips Arena
2000,"Thu, Dec 2, 1999",Dallas Mavericks,101,Chicago Bulls,95,22109,United Center
2000,"Thu, Dec 2, 1999",Seattle SuperSonics,117,Golden State Warriors,108,10112,The Arena in Oakland
2000,"Thu, Dec 2, 1999",Houston Rockets,109,Los Angeles Clippers,96,10673,STAPLES Center
2000,"Thu, Dec 2, 1999",New York Knicks,84,Milwaukee Bucks,80,14365,Bradley Center
2000,"Thu, Dec 2, 1999",Orlando Magic,103,Minnesota Timberwolves,93,13228,Target Center
2000,"Thu, Dec 2, 1999",San Antonio Spurs,96,New Jersey Nets,94,13626,Continental Airlines Arena
2000,"Fri, Dec 3, 1999",Miami Heat,84,Boston Celtics,96,15954,FleetCenter
2000,"Fri, Dec 3, 1999",Philadelphia 76ers,102,Cleveland Cavaliers,100,14626,Gund Arena
2000,"Fri, Dec 3, 1999",Orlando Magic,112,Denver Nuggets,100,14383,Pepsi Center
2000,"Fri, Dec 3, 1999",San Antonio Spurs,80,Detroit Pistons,102,18338,The Palace of Auburn Hills
2000,"Fri, Dec 3, 1999",Portland Trail Blazers,80,Los Angeles Lakers,93,18997,STAPLES Center
2000,"Fri, Dec 3, 1999",Washington Wizards,93,Toronto Raptors,95,15787,Air Canada Centre
2000,"Fri, Dec 3, 1999",Indiana Pacers,100,Utah Jazz,75,19084,Delta Center
2000,"Fri, Dec 3, 1999",Charlotte Hornets,113,Vancouver Grizzlies,94,12107,General Motors Place
2000,"Sat, Dec 4, 1999",Detroit Pistons,110,Atlanta Hawks,112,17328,Philips Arena
2000,"Sat, Dec 4, 1999",Milwaukee Bucks,92,Chicago Bulls,91,22188,United Center
2000,"Sat, Dec 4, 1999",Utah Jazz,94,Golden State Warriors,82,11790,The Arena in Oakland
2000,"Sat, Dec 4, 1999",Phoenix Suns,95,Houston Rockets,105,16285,Compaq Center
2000,"Sat, Dec 4, 1999",Seattle SuperSonics,102,Los Angeles Clippers,89,10326,STAPLES Center
2000,"Sat, Dec 4, 1999",Dallas Mavericks,103,Minnesota Timberwolves,84,16671,Target Center
2000,"Sat, Dec 4, 1999",New York Knicks,92,New Jersey Nets,82,20049,Continental Airlines Arena
2000,"Sat, Dec 4, 1999",Boston Celtics,74,Philadelphia 76ers,77,16784,First Union Center
2000,"Sat, Dec 4, 1999",Sacramento Kings,114,Washington Wizards,104,19220,MCI Center
2000,"Sun, Dec 5, 1999",Orlando Magic,100,Los Angeles Lakers,117,18422,STAPLES Center
2000,"Sun, Dec 5, 1999",Dallas Mavericks,97,Milwaukee Bucks,103,12214,Bradley Center
2000,"Sun, Dec 5, 1999",Denver Nuggets,80,New York Knicks,78,19763,Madison Square Garden (IV)
2000,"Sun, Dec 5, 1999",Portland Trail Blazers,92,Phoenix Suns,90,19023,America West Arena
2000,"Sun, Dec 5, 1999",Charlotte Hornets,103,Seattle SuperSonics,81,12233,KeyArena at Seattle Center
2000,"Sun, Dec 5, 1999",San Antonio Spurs,92,Toronto Raptors,98,18455,Air Canada Centre
2000,"Mon, Dec 6, 1999",Vancouver Grizzlies,99,Houston Rockets,102,14458,Compaq Center
2000,"Mon, Dec 6, 1999",Miami Heat,99,Los Angeles Clippers,91,10194,STAPLES Center
2000,"Mon, Dec 6, 1999",Sacramento Kings,95,New Jersey Nets,109,13127,Continental Airlines Arena
2000,"Mon, Dec 6, 1999",Denver Nuggets,94,Philadelphia 76ers,77,14108,First Union Center
2000,"Mon, Dec 6, 1999",Washington Wizards,96,Utah Jazz,102,19000,Delta Center
2000,"Tue, Dec 7, 1999",Vancouver Grizzlies,104,Dallas Mavericks,95,11552,Reunion Arena
2000,"Tue, Dec 7, 1999",San Antonio Spurs,77,Indiana Pacers,83,18345,Conseco Fieldhouse
2000,"Tue, Dec 7, 1999",Washington Wizards,80,Los Angeles Lakers,91,17571,STAPLES Center
2000,"Tue, Dec 7, 1999",Detroit Pistons,116,Milwaukee Bucks,112,12847,Bradley Center
2000,"Tue, Dec 7, 1999",Golden State Warriors,83,New York Knicks,89,19763,Madison Square Garden (IV)
2000,"Tue, Dec 7, 1999",Orlando Magic,107,Phoenix Suns,110,18249,America West Arena
2000,"Tue, Dec 7, 1999",Miami Heat,86,Portland Trail Blazers,76,20317,Rose Garden Arena
2000,"Tue, Dec 7, 1999",Cleveland Cavaliers,98,Toronto Raptors,101,15162,Air Canada Centre
2000,"Wed, Dec 8, 1999",Los Angeles Clippers,81,Atlanta Hawks,99,16378,Philips Arena
2000,"Wed, Dec 8, 1999",Denver Nuggets,90,Boston Celtics,115,15730,FleetCenter
2000,"Wed, Dec 8, 1999",Golden State Warriors,106,Charlotte Hornets,113,15327,Charlotte Coliseum
2000,"Wed, Dec 8, 1999",Chicago Bulls,93,Cleveland Cavaliers,107,11226,Gund Arena
